fecha_puesta,fecha_recogida,periodo_monitoreo,tipo_trampa,marca_trampa,num_trampa,trampa_ID,ubicacion,orden,familia,especie,abundancia,especies_monitoreo,abundancia_monitoreo
5/11/2017,12/11/2017,may-dic-2017,Adhesiva.suelo,Insect Monitor,7,may-dic-2017.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,159
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,1,jul2018-feb2019.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Blattodea,Blattidae,Periplaneta australiasea,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,2,jul2018-feb2019.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,2,jul2018-feb2019.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,12,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,3,jul2018-feb2019.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,,,Incertae sedis 1,0,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,4,jul2018-feb2019.Adhesiva.suelo.Zona.central4,Zona.central,Araneae,Pholcidae,Aymaria conica,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,4,jul2018-feb2019.Adhesiva.suelo.Zona.central4,Zona.central,Orthoptera,Gryllidae,Gryllus sp.,2,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Acari,,Acari incertae sedis,11,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Psocoptera,Epipsocidae,Epipsocus sp,2,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Orthoptera,Gryllidae,Gryllus sp.,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Psocoptera,Liposcelididae,Liposcelis entomophila,2,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Hymenoptera,Formicidae,Monomorium floricola,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,5,jul2018-feb2019.Adhesiva.suelo.Zona.central5,Zona.central,Hymenoptera,Formicidae,Tapinoma melanocephalum,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,6,jul2018-feb2019.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Pholcidae,Aymaria conica,4,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,6,jul2018-feb2019.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Psocoptera,Liposcelididae,Liposcelis entomophila,11,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,6,jul2018-feb2019.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Isopoda,Porcellionidae,Porcellio laevis,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,6,jul2018-feb2019.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,2,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,6,jul2018-feb2019.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Hymenoptera,Formicidae,Tapinoma melanocephalum,1,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,7,jul2018-feb2019.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Pholcidae,Aymaria conica,3,19,59
7/11/2018,2/11/2019,jul2018-feb2019,Adhesiva.suelo,Gluee Louee,7,jul2018-feb2019.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Orthoptera,Gryllidae,Gryllus sp.,2,19,59
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,1,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Oonopidae,Gamasomorpha sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,1,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,107,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,1,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Diptera,Sciaridae,Sciara sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,1,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Psocoptera,Lepidopsocidae,Lepidopsocidae incertae sedis,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Coleoptera,Carabidae,Calosoma granatense,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus conspicuus zonatus,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Oonopidae,Gamasomorpha sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blattidae,Periplaneta australiasea,3,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Physocyclus globosus,2,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,112,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,2,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Diptera,Sciaridae,Sciara sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Oonopidae,Gamasomorpha sp.,3,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Blattodea,Polyphagidae,Holocompsa nitidula,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Blattodea,Blattidae,Periplaneta australiasea,2,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,75,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,2,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,3,feb2019-ene2020.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Hymenoptera,Formicidae,Tapinoma melanocephalum,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,4,feb2019-ene2020.Adhesiva.suelo.Zona.central4,Zona.central,Araneae,Pholcidae,Physocyclus globosus,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,4,feb2019-ene2020.Adhesiva.suelo.Zona.central4,Zona.central,Psocoptera,,Psocoptera incertae sedis,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,5,feb2019-ene2020.Adhesiva.suelo.Zona.central5,Zona.central,Diptera,Phoridae,Dohrniphora cornuta,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,5,feb2019-ene2020.Adhesiva.suelo.Zona.central5,Zona.central,Psocoptera,Lachesillidae,Lachesilla sp.,63,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,5,feb2019-ene2020.Adhesiva.suelo.Zona.central5,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,3,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,6,feb2019-ene2020.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Araneae,Oonopidae,Gamasomorpha sp.,2,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,6,feb2019-ene2020.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Psocoptera,Liposcelididae,Liposcelididae incertae sedis,8,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,6,feb2019-ene2020.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Hymenoptera,Formicidae,Monomorium floricola,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,6,feb2019-ene2020.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,6,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,7,feb2019-ene2020.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Diptera,Phoridae,Megaselia sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,7,feb2019-ene2020.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,4,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,8,feb2019-ene2020.Adhesiva.suelo.Zona.entrada8,Zona.entrada,Psocoptera,Liposcelididae,Liposcelididae incertae sedis,8,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,8,feb2019-ene2020.Adhesiva.suelo.Zona.entrada8,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,2,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.suelo,Gluee Louee,8,feb2019-ene2020.Adhesiva.suelo.Zona.entrada8,Zona.entrada,Diptera,Sciaridae,Sciara sp.,1,32,418
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Coleoptera,Tenebrionidae,Blapstinus sp.,2,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus conspicuus zonatus,32,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Orthoptera,Gryllidae,Cycloptilum erraticum,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Blattodea,Polyphagidae,Holocompsa nitidula,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Psocoptera,Liposcelididae,Liposcelididae incertae sedis,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,5,feb2019-ene2020.Adhesiva.mueble.Zona.ampliacion5,Zona.ampliacion,Scolopendromorpha,Scolopendridae,Scolopendra galapagoensis,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,1,feb2019-ene2020.Adhesiva.mueble.Zona.central1,Zona.central,Araneae,Pholcidae,Physocyclus globosus,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,1,feb2019-ene2020.Adhesiva.mueble.Zona.central1,Zona.central,Hymenoptera,Formicidae,Tapinoma melanocephalum,5,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,3,feb2019-ene2020.Adhesiva.mueble.Zona.central3,Zona.central,Blattodea,Blaberidae,Psycnoscelus surinamensis,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,4,feb2019-ene2020.Adhesiva.mueble.Zona.central4,Zona.central,Araneae,Oonopidae,Gamasomorpha sp.,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,4,feb2019-ene2020.Adhesiva.mueble.Zona.central4,Zona.central,Araneae,Pholcidae,Physocyclus globosus,1,12,48
2/11/2019,1/20/2020,feb2019-ene2020,Adhesiva.mueble,Amarillas voladores,4,feb2019-ene2020.Adhesiva.mueble.Zona.central4,Zona.central,Blattodea,Blaberidae,Psycnoscelus surinamensis,1,12,48
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Lepidoptera,Geometridae,Cyclophora impudens,1,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,,,Incertae sedis 2,2,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Psocoptera,Liposcelididae,Liposcelis entomophila,2,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Diptera,Phoridae,Megaselia sp.,18,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Coleoptera,Phalacridae,Phalacrus darwini,2,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Hymenoptera,Diapriidae,Diapriidae incertae sedis,4,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,2,feb2019-sep2019.Adhesiva.luz.Zona.ampliacion2,Zona.ampliacion,Coleoptera,Curculionidae,Xyleborus spinulosus,1,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,1,feb2019-sep2019.Adhesiva.luz.Zona.central1,Zona.central,Diptera,Culicidae,Aedes taeniorhynchus,3,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,1,feb2019-sep2019.Adhesiva.luz.Zona.central1,Zona.central,Coleoptera,Ptinidae,Lasioderma serricorne,2,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,1,feb2019-sep2019.Adhesiva.luz.Zona.central1,Zona.central,Diptera,Phoridae,Megaselia sp.,22,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,1,feb2019-sep2019.Adhesiva.luz.Zona.central1,Zona.central,Hymenoptera,Formicidae,Monomorium floricola,1,12,60
2/11/2019,9/11/2019,feb2019-sep2019,Adhesiva.luz,Luz UV,1,feb2019-sep2019.Adhesiva.luz.Zona.central1,Zona.central,Hymenoptera,Diapriidae,Diapriidae incertae sedis,2,12,60
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,1,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Hymenoptera,Formicidae,Camponotus sp.,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,1,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Araneae,Oecobiidae,Oecobius concinnus,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,1,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,6,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,2,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,2,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Pholcidae,Modisimus sp.,3,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,2,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,56,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,2,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,6,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,2,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion2,Zona.ampliacion,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,3,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Pholcidae,Aymaria conica,7,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,3,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Orthoptera,Gryllidae,Gryllus sp.,3,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,3,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Araneae,Pholcidae,Modisimus sp.,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,3,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Isopoda,Porcellionidae,Porcellionides pruinosus,21,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,3,dic2017-jul2018.Adhesiva.suelo.Zona.ampliacion3,Zona.ampliacion,Blattodea,Blaberidae,Psycnoscelus surinamensis,3,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,4,dic2017-jul2018.Adhesiva.suelo.Zona.central4,Zona.central,Isopoda,Porcellionidae,Porcellionides pruinosus,4,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,4,dic2017-jul2018.Adhesiva.suelo.Zona.central4,Zona.central,Blattodea,Blattidae,Blattidae incertae sedis,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,5,dic2017-jul2018.Adhesiva.suelo.Zona.central5,Zona.central,Coleoptera,Ptinidae,Lasioderma serricorne,5,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,5,dic2017-jul2018.Adhesiva.suelo.Zona.central5,Zona.central,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,6,dic2017-jul2018.Adhesiva.suelo.Zona.entrada6,Zona.entrada,Orthoptera,Gryllidae,Gryllus sp.,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,7,dic2017-jul2018.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Orthoptera,Gryllidae,Gryllus sp.,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,7,dic2017-jul2018.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Oecobiidae,Oecobius concinnus,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,7,dic2017-jul2018.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Isopoda,Porcellionidae,Porcellionides pruinosus,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,7,dic2017-jul2018.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Blattodea,Blaberidae,Psycnoscelus surinamensis,1,23,127
12/11/2019,7/11/2018,dic2017-jul2018,Adhesiva.suelo,Gluee Louee,7,dic2017-jul2018.Adhesiva.suelo.Zona.entrada7,Zona.entrada,Araneae,Linyphiidae,Linyphiidae incertae sedis,1,23,127
1/20/2020,4/19/2020,ene-abr2020,Adhesiva.suelo,Gluee Louee,1,ene-abr2020.Adhesiva.suelo.Zona.ampliacion1,Zona.ampliacion,Coleoptera,Carabidae,Calosoma granatense,1,19,24
