trampa_ID_unico,Acari incertae sedis,Aedes taeniorhynchus,Aymaria conica,Blapstinus sp.,Blattidae incertae sedis,Blattodea incertae sedis,Calosoma granatense,Camponotus conspicuus zonatus,Camponotus sp.,Clogmia sp.,Collembola incertae sedis,Cyclophora impudens,Cycloptilum erraticum,Cycloptilum sp.,Diapriidae incertae sedis,Dipropus puberulus,Dohrniphora cornuta,Epipsocus sp,Gamasomorpha sp.,Gryllus sp.,Holocompsa nitidula,Incertae sedis 2,Lachesilla sp.,Lasioderma serricorne,Lepidopsocidae incertae sedis,Linyphiidae incertae sedis,Liposcelididae incertae sedis,Liposcelis entomophila,Megaselia scalaris,Megaselia sp.,Modisimus sp.,Monomorium floricola,Neocleobis solitarius,Oecobius concinnus,Periplaneta americana,Periplaneta australiasea,Phalacrus darwini,Physocyclus globosus,Porcellio laevis,Porcellionides pruinosus,Psocoptera incertae sedis,Psycnoscelus surinamensis,Sarcophagidae incertae sedis,Sciara sp.,Scolopendra galapagoensis,Symploce pallens,Tapinoma melanocephalum,Xyleborus spinulosus,fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,ubicacion
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.central
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.central
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.entrada
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2017-12-11,2018-07-11,212,dic2017-jul2018,2,Adhesiva.suelo,Gluee Louee,Zona.entrada
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.central
18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.central
19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.entrada
20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-11,2019-02-11,215,jul2018-feb2019,3,Adhesiva.suelo,Gluee Louee,Zona.entrada
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,1,0,0,0,0,2019-02-11,2019-09-11,212,feb2019-sep2019,4,Adhesiva.luz,Luz UV,Zona.ampliacion
22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,112,0,1,0,1,0,0,0,0,2019-02-11,2019-09-11,212,feb2019-sep2019,4,Adhesiva.luz,Luz UV,Zona.ampliacion
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,75,0,2,0,0,0,0,1,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
29,0,0,0,2,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.central
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.entrada
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.entrada
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.suelo,Gluee Louee,Zona.entrada
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.mueble,Amarillas voladores,Zona.ampliacion
34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-11,2020-01-20,343,feb2019-ene2020,5,Adhesiva.mueble,Amarillas voladores,Zona.central
35,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.central
39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.central
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.entrada
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-04-19,90,ene-abr2020,6,Adhesiva.suelo,Gluee Louee,Zona.entrada
42,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
43,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.bodega
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.central
47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.central
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.entrada
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.entrada
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-19,2020-07-22,94,abr-jul2020,7,Adhesiva.suelo,Gluee Louee,Zona.entrada
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
52,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.bodega
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.entrada
56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.entrada
57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-22,2020-10-22,92,jul-oct2020,8,Adhesiva.suelo,Gluee Louee,Zona.entrada
